# WHGame.dll image base in header: 0x180000000; assuming 0x180000000
# sections: .text[0x1000..0x3a02000]X, .rdata[0x3a02000..0x48d1000], .data[0x48d1000..0x56876f0], .pdata[0x5688000..0x59df000], _RDATA[0x59df000..0x59f2400], .rsrc[0x59f3000..0x59f3200], .reloc[0x59f4000..0x5b2a200]
# 143 version rows

id|name|kind|rva|sect|check|result|detail
1|lua_pcall|function|0x0071A5A4|.text/exec|entry|ENTRY|48895c24
2|CGame_Update|function|0x00667B24|.text/exec|entry|ENTRY|488bc448
3|luaL_loadfile|function|0x03993898|.text/exec|entry|ENTRY|48895c24
4|CGame_per_frame_ui_pump|function|0x00865FB4|.text/exec|entry|ENTRY|48895c24
5|outfit_swap_callsite_aob|callsite|0x0056174C|.text|aob_match|CONFIRMED|aob@rva=True; text_matches=1 first=0x56174c
6|outfit_swap_callsite_context|callsite|0x00561745|.text|aob_match|CONFIRMED|aob@rva=True; text_matches=1 first=0x561745
7|IsInCombat_callsite_26b|callsite|0x005605BC|.text|aob_match|CONFIRMED|aob@rva=True; text_matches=1 first=0x5605bc
8|IsInCombat_callsite_with_stack_frame|callsite|0x00566040|.text|aob_match|CONFIRMED|aob@rva=True; text_matches=1 first=0x566040
9|gEnv_pConsole_mov_instruction|instruction_anchor|0x0086AD99|.text|aob_match|CONFIRMED|aob@rva=True; text_matches=>5 first=0x29be
10|gEnv_pConsole|data_slot|0x0492B8A8|.data|placement|INFO|rule='disp32@9' derives_from=9 (derivation re-run below)
11|gEnv|data_slot|0x0492B800|.data|placement|INFO|rule='10-0xA8' derives_from=10 (derivation re-run below)
12|string_exec_autoexec_cfg|string_anchor|0x04095E58|.rdata|string|CONFIRMED|want='exec autoexec.cfg' got=b'exec autoexec.cfg\x00'
13|IConsole_AddCommand|function_no_sig|0x00B9A2B0|.text/exec|entry|ENTRY|48895c24
14|IConsole_RemoveCommand|function|0x0100955C|.text/exec|entry|ENTRY|48895c24
15|IConsole_ExecuteString|function|0x007A5818|.text/exec|entry|ENTRY|48895c24
16|IConsole_GetCVar|function|0x009DF818|.text/exec|entry|ENTRY|48895c24
17|IConsole_AddCommand_static_wrapper|data_slot|0x00B99098|.text|placement|INFO|rule='' derives_from= (derivation re-run below)
18|IConsole_AddCommand_script_overload|function_no_sig|0x0100A3D4|.text/exec|entry|ENTRY|48895c24
19|IGame_CompleteInit_vtable_idx|vtable_index|-|-|slot_index|NEEDS_INTERFACE_VTABLE|seed_slot=4
20|IScriptSystem_CreateTable_vtable_idx|vtable_index|-|-|slot_index|NEEDS_INTERFACE_VTABLE|seed_slot=13
21|IScriptTable_SetValueAny_vtable_idx|vtable_index|-|-|slot_index|NEEDS_INTERFACE_VTABLE|seed_slot=7
22|IGame_GetIGameFramework_vtable_idx|vtable_index|-|-|slot_index|NEEDS_INTERFACE_VTABLE|seed_slot=16
23|IGame_GetLongName_vtable_idx|vtable_index|-|-|slot_index|NEEDS_INTERFACE_VTABLE|seed_slot=12
24|IGame_GetName_vtable_idx|vtable_index|-|-|slot_index|NEEDS_INTERFACE_VTABLE|seed_slot=13
25|luaL_checktype|function|0x0071A0D8|.text/exec|entry|ENTRY|40534883
26|lua_insert|function|0x0071A49C|.text/exec|entry|ENTRY|4883ec28
27|lua_remove|function|0x0071A4E4|.text/exec|entry|ENTRY|4883ec28
28|lua_type|function|0x0071CA90|.text/exec|entry|ENTRY|4883ec28
29|lua_rawgeti|function|0x0071D06C|.text/exec|entry|ENTRY|4883ec28
30|lua_pushlstring|function|0x0071E46C|.text/exec|entry|ENTRY|48895c24
31|lua_getmetatable|function|0x0071E4D4|.text/exec|entry|ENTRY|4883ec28
32|lua_settop|function|0x0071E77C|.text/exec|entry|UNUSUAL|85d27820
33|lua_touserdata|function|0x0071ECEC|.text/exec|entry|ENTRY|4883ec28
34|lua_pushstring|function|0x0071EF54|.text/exec|entry|ENTRY|48895c24
35|lua_createtable|function|0x0071F098|.text/exec|entry|ENTRY|48895c24
36|lua_pushvalue|function|0x0071F100|.text/exec|entry|ENTRY|4883ec28
37|lua_setmetatable|function|0x0071F128|.text/exec|entry|ENTRY|4883ec28
38|lua_next|function|0x0071F4BC|.text/exec|entry|ENTRY|40534883
39|lua_tolstring|function|0x0071F6A8|.text/exec|entry|ENTRY|48895c24
40|lua_gettable|function|0x0071F6FC|.text/exec|entry|ENTRY|4883ec28
41|luaC_step|function_no_sig|0x0071FCE8|.text/exec|entry|ENTRY|48895c24
42|lua_rawget|function|0x00718464|.text/exec|entry|ENTRY|40534883
43|lua_rawset|function|0x00720738|.text/exec|entry|ENTRY|48895c24
44|lua_tonumber|function|0x0041C200|.text/exec|entry|ENTRY|4883ec38
45|lua_isnumber|function|0x0041C230|.text/exec|entry|ENTRY|4883ec38
46|lua_checkstack|function|0x00B9CC48|.text/exec|entry|ENTRY|48895c24
47|lua_typename|function|0x00B9CE78|.text/exec|entry|UNUSUAL|83faff74
48|lua_objlen|function|0x00B9D764|.text/exec|entry|ENTRY|40534883
49|lua_toboolean|function|0x00B9C1AC|.text/exec|entry|ENTRY|4883ec28
50|lua_rawseti|function|0x00B9C2A4|.text/exec|entry|ENTRY|48895c24
51|lua_tointeger|function|0x00B9CAFC|.text/exec|entry|ENTRY|4883ec38
52|lua_newuserdata|function|0x00B9D0C0|.text/exec|entry|ENTRY|48895c24
53|lua_pushcclosure|function|0x00B9D11C|.text/exec|entry|ENTRY|48895c24
54|luaL_findtable|function|0x00ADB058|.text/exec|entry|ENTRY|488bc448
55|lua_getfield|function|0x00ADB44C|.text/exec|entry|ENTRY|48895c24
56|lua_setfield|function|0x00A2D840|.text/exec|entry|ENTRY|48895c24
57|lua_gc|function|0x00A2D8B8|.text/exec|entry|ENTRY|48895c24
58|lua_sethook|function|0x00A2DA68|.text/exec|entry|UNUSUAL|4885d274
59|lua_getstack|function|0x00CAE9A8|.text/exec|entry|UNUSUAL|4c8b4928
60|lua_getinfo|function|0x00CAEA88|.text/exec|entry|ENTRY|48895c24
61|luaL_checknumber|function|0x01250AC4|.text/exec|entry|ENTRY|48895c24
62|lua_call|function|0x0144965C|.text/exec|entry|ENTRY|48895c24
63|luaL_getmetafield|function|0x016546F8|.text/exec|entry|ENTRY|40534883
64|lua_concat|function|0x013236D0|.text/exec|entry|ENTRY|48895c24
65|luaL_pushresult|function|0x01323664|.text/exec|entry|ENTRY|40534883
66|lua_load|function|0x013E14D8|.text/exec|entry|ENTRY|48895c24
67|luaL_checklstring|function|0x00B9C9BC|.text/exec|entry|ENTRY|48895c24
68|luaL_optinteger|function|0x00B9CA08|.text/exec|entry|ENTRY|40534883
69|luaL_checkinteger|function|0x00B9CAB4|.text/exec|entry|ENTRY|48895c24
70|luaL_checkstack|function|0x00B9CC20|.text/exec|entry|ENTRY|48895c24
71|luaL_checkany|function|0x00B9CE94|.text/exec|entry|ENTRY|4883ec28
72|luaL_addlstring|function|0x00B9D8E4|.text/exec|entry|UNUSUAL|4d85c074
73|lua_iscfunction|function|0x039930A4|.text/exec|entry|ENTRY|4883ec28
